time,grid_draw_kw,commercial_kw,pv_ac_kw,pv_curtail_kw
2025-11-04 00:00:00,81.49014246797275,81.49014246797275,0.0,0.0
2025-11-04 00:15:00,79.58520712326464,79.58520712326464,0.0,0.0
2025-11-04 00:30:00,81.94306568716732,81.94306569232329,0.0,0.0
2025-11-04 00:45:00,84.56908974055538,84.5690897903221,0.0,0.0
2025-11-04 01:00:00,79.29754048522202,79.29754048522202,0.0,0.0
2025-11-04 01:15:00,79.29759076276041,79.29759076276041,0.0,0.0
2025-11-04 01:30:00,84.73764263952394,84.7376427058156,0.0,0.0
2025-11-04 01:45:00,82.30231496423622,82.30231498849776,0.0,0.0
2025-11-04 02:00:00,78.59160348202658,78.59160348202658,0.0,0.0
2025-11-04 02:15:00,81.62774398670314,81.62774403580454,0.0,0.0
2025-11-04 02:30:00,78.60989602114743,78.60989602114743,0.0,0.0
2025-11-04 02:45:00,78.60314908014784,78.60314908073983,0.0,0.0
2025-11-04 03:00:00,80.72663344909971,80.72663355814834,0.0,0.0
2025-11-04 03:15:00,74.26176223482972,74.26176223482972,0.0,0.0
2025-11-04 03:30:00,74.82859319784907,74.82859319784907,0.0,0.0
2025-11-04 03:45:00,78.3199332312089,78.3199332788875,0.0,0.0
2025-11-04 04:00:00,76.97492845191366,76.97492845191366,0.0,0.0
2025-11-04 04:15:00,80.96852382326,80.96852392495701,0.0,0.0
2025-11-04 04:30:00,77.32409567112201,77.32409567112201,0.0,0.0
2025-11-04 04:45:00,75.85061517558623,75.85061517558623,0.0,0.0
2025-11-04 05:00:00,84.5516346958566,84.55163485505413,0.0,0.0
2025-11-04 05:15:00,79.58857046258196,79.58857051037803,0.0,0.0
2025-11-04 05:30:00,80.64713069437678,80.64713080825206,0.0,0.0
2025-11-04 05:45:00,76.44862134156892,76.44862138433278,0.0,0.0
2025-11-04 06:00:00,79.51010207450422,79.51010221306531,0.0,0.0
2025-11-04 06:15:00,82.0913774175905,82.09137765733506,0.0,0.0
2025-11-04 06:30:00,79.17816349709044,79.17816367726395,0.0,0.0
2025-11-04 06:45:00,84.9559599743471,84.95596032719835,0.0,0.0
2025-11-04 07:00:00,77.91881516574438,83.61747590388714,5.698660557847624,0.0
2025-11-04 07:15:00,65.78069854711532,86.58583154680825,20.805132999692926,0.0
2025-11-04 07:30:00,52.27413638673489,88.18574164579879,35.91160544153822,0.0
2025-11-04 07:45:00,47.552295111046625,98.5703722595324,51.01807788338352,0.0
2025-11-04 08:00:00,30.3236426264489,96.44819126142045,66.12455032522882,0.0
2025-11-04 08:15:00,21.080896955454236,97.1503598500006,76.06946772496275,1.0337635512952094e-06
2025-11-04 08:30:00,20.82386223613223,106.83823568072404,86.01438512469669,3.3821027700893373e-06
2025-11-04 08:45:00,128.81210886736062,104.7714844887922,95.95930252443063,0.0
2025-11-04 09:00:00,127.006096030725,112.91039036323723,105.90421992416454,0.0
2025-11-04 09:15:00,120.37147549446487,109.79964960395748,109.42816494312339,0.0
2025-11-04 09:30:00,121.45715125574611,114.40927043648743,112.95210996208226,0.0
2025-11-04 09:45:00,124.36464922902259,120.84075384113154,116.47605498104114,0.0
2025-11-04 10:00:00,123.35506056574417,123.35510878416684,120.0,0.0
2025-11-04 10:15:00,121.55707281378628,121.5571291814344,120.0,0.0
2025-11-04 10:30:00,119.68818236527872,119.68828059027626,120.0,0.0
2025-11-04 10:45:00,117.37576425983463,117.37593095471524,120.0,0.0
2025-11-04 11:00:00,0.00018747539489538667,111.57190558148143,120.0,8.428298364017804
2025-11-04 11:15:00,-7.840995147034846e-05,111.33534855357459,120.0,8.664533658899767
2025-11-04 11:30:00,-0.00015773996528878342,109.6460742374566,120.0,10.353691257557287
2025-11-04 11:45:00,52.04591601710088,112.04587253926842,120.0,1.0944876993636734e-05
2025-11-04 12:00:00,48.28864062927488,108.28860483048724,120.0,8.908878525911819e-06
2025-11-04 12:15:00,41.04959674104869,101.04956998956295,120.0,6.530720710812623e-06
2025-11-04 12:30:00,107.17886249831162,107.17896362719372,120.0,0.0
2025-11-04 12:45:00,105.7233937345191,105.7234780822773,120.0,0.0
2025-11-04 13:00:00,106.27424766272952,106.27431341712735,120.0,0.0
2025-11-04 13:15:00,112.21518928246542,112.21520621159141,120.0,0.0
2025-11-04 13:30:00,116.04864822524712,116.04867269778075,120.0,0.0
2025-11-04 13:45:00,118.64832189686882,118.6483552618023,120.0,0.0
2025-11-04 14:00:00,116.36693023769126,116.36694756116447,120.0,0.0
2025-11-04 14:15:00,121.3101761908291,120.92376152917085,119.61354545001375,0.0
2025-11-04 14:30:00,126.33580841202416,125.56299528497016,119.22709090002749,0.0
2025-11-04 14:45:00,70.95696220480866,129.79756045065312,118.84063635004122,8.828836489935222e-06
2025-11-04 15:00:00,68.72463909071409,127.17877581586025,118.45418180005497,1.046154272686849e-05
2025-11-04 15:15:00,79.3305888372027,129.14141962774804,109.81086932488199,8.883994502902906e-06
2025-11-04 15:30:00,85.56163220364742,126.72914947777505,101.16755684970903,9.378141458991306e-06
2025-11-04 15:45:00,93.523833935701,126.04805223359291,92.52424437453607,6.5730130714116725e-06
2025-11-04 16:00:00,107.03181637918276,130.9126576961159,83.88093189936309,2.3606094606664646e-05
2025-11-04 16:15:00,118.01666935983224,130.68063897075132,72.66408739776271,3.19727109993392e-05
2025-11-04 16:30:00,150.00023718474097,123.91216069837797,61.44724289616235,0.0
2025-11-04 16:45:00,150.00004808905535,124.14107942550503,50.23039839456198,0.0
2025-11-04 17:00:00,150.00012382622285,118.8276347533578,39.013553892961625,0.0
2025-11-04 17:15:00,149.99970681333815,112.16201656234078,0.0,5.650485778111069e-05
2025-11-04 17:30:00,150.00007747874503,111.4108688682838,0.0,3.7124870734495757e-07
2025-11-04 17:45:00,150.00065275500307,111.16897314148048,0.0,0.0
2025-11-04 18:00:00,149.99992456511953,102.78421660469675,0.0,4.377518738450683e-06
2025-11-04 18:15:00,150.00098609574596,104.12184814137423,0.0,0.0
2025-11-04 18:30:00,150.00091582701864,88.37339231379681,0.0,0.0
2025-11-04 18:45:00,149.99954138910388,95.81830090757725,0.0,0.0001137862558803359
2025-11-04 19:00:00,149.99797097731013,91.07440015540807,0.0,0.0004850577283510453
2025-11-04 19:15:00,147.72408697093107,87.72405936431075,0.0,1.4304303284114298e-05
2025-11-04 19:30:00,87.04208000277377,87.04204656942785,0.0,1.9747104202212623e-05
2025-11-04 19:45:00,79.26625881257483,79.26624334741373,0.0,1.0941889774422755e-05
2025-11-04 20:00:00,83.31895867864029,83.31895978133338,0.0,3.08312213541921e-06
2025-11-04 20:15:00,84.05069663910713,84.05070365553516,0.0,0.0
2025-11-04 20:30:00,86.63052256630185,86.63052881631081,0.0,0.0
2025-11-04 20:45:00,80.03992364998427,80.03992901356818,0.0,0.0
2025-11-04 21:00:00,78.71422375632422,78.71422823558507,0.0,0.0
2025-11-04 21:15:00,79.29661064323558,79.29661433303833,0.0,0.0
2025-11-04 21:30:00,83.30165315691261,83.30165618002522,0.0,0.0
2025-11-04 21:45:00,81.36503488180455,81.36503720119393,0.0,0.0
2025-11-04 22:00:00,78.66502123183966,78.66502285025003,0.0,0.0
2025-11-04 22:15:00,81.70788545600547,81.70788662373681,0.0,0.0
2025-11-04 22:30:00,80.40060659244355,80.40060720395329,0.0,0.0
2025-11-04 22:45:00,82.97600272578318,82.97600294254295,0.0,0.0
2025-11-04 23:00:00,77.93803238992392,77.93803203371469,0.0,0.0
2025-11-04 23:15:00,79.04445480277188,79.0444525718783,0.0,6.89849082098789e-07
2025-11-04 23:30:00,78.84045570239793,78.84044867199866,0.0,2.5727102508359005e-06
2025-11-04 23:45:00,75.61956032594753,75.61954940388368,0.0,4.066227710653738e-06
